"항목",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"항목",계,전기적요인,기계적요인,화학적요인,가스누출,교통사고,부주의,기타,자연적요인,방화,방화의심,미상,계,전기적요인,기계적요인,화학적요인,가스누출,교통사고,부주의,기타,자연적요인,방화,방화의심,미상,계,전기적요인,기계적요인,화학적요인,가스누출,교통사고,부주의,기타,자연적요인,방화,방화의심,제품결함,미상
"합계",38659,9329,4053,630,141,458,19186,600,238,377,381,3266,36267,9472,4038,683,146,398,16875,679,241,308,339,3088,40113,10011,3856,686,151,430,19666,516,214,400,346,167,3670
"1월",3100,781,377,43,17,34,1453,44,2,33,29,287,3847,1067,475,48,28,36,1705,61,7,33,30,357,4098,932,373,52,20,38,2173,48,4,37,31,9,381
"2월",3011,748,342,46,15,40,1465,35,2,41,33,244,3500,708,322,52,13,37,1943,62,7,27,40,289,4121,778,328,43,12,30,2396,52,11,34,37,5,395
"3월",4053,702,343,56,12,34,2443,55,13,40,44,311,3180,721,348,61,14,26,1637,64,10,29,26,244,3318,811,308,40,9,26,1694,39,3,46,32,9,301
"4월",4381,648,304,57,10,41,2849,55,8,28,50,331,3603,693,339,60,15,32,2037,67,6,21,37,296,3729,713,319,55,15,37,2112,45,12,32,40,14,335
"5월",2906,704,287,52,13,33,1462,39,14,30,27,245,2715,679,305,54,9,35,1249,65,26,28,34,231,4105,687,287,82,14,33,2479,41,14,39,34,13,382
"6월",2968,732,312,60,9,47,1435,38,16,36,27,256,2456,666,324,54,9,28,1076,48,14,19,26,192,2883,865,275,69,13,30,1230,34,26,36,28,21,256
"7월",2423,861,289,57,12,35,885,29,30,24,28,173,3036,1122,328,89,7,34,1075,45,65,23,16,232,2706,993,323,67,9,36,902,27,25,35,23,21,245
"8월",3017,1331,355,57,7,31,834,52,71,24,22,233,2607,926,315,76,11,30,905,43,46,17,25,213,2696,1089,307,69,14,32,808,43,46,18,28,7,235
"9월",2513,730,299,45,5,40,1010,48,61,24,22,229,2252,643,239,44,5,31,983,48,28,23,18,190,2696,765,268,64,13,37,1151,39,50,35,19,19,236
"10월",3287,608,341,53,11,49,1775,68,6,37,29,310,2710,658,326,50,8,31,1260,75,13,29,27,233,3058,722,329,50,9,39,1529,35,8,33,27,17,260
"11월",3162,669,369,46,17,34,1608,56,11,25,41,286,2908,720,335,39,9,37,1379,45,10,33,24,277,3010,694,337,55,9,46,1476,48,11,24,24,14,272
"12월",3838,815,435,58,13,40,1967,81,4,35,29,361,3453,869,382,56,18,41,1626,56,9,26,36,334,3693,962,402,40,14,46,1716,65,4,31,23,18,372
