iter	Passed	Remaining
0	135	540113
1	137	275685
2	140	186804
3	143	142919
4	145	116321
5	148	98618
6	150	85843
7	153	76353
8	155	68849
9	157	63005
10	160	58245
11	163	54258
12	165	50884
13	168	47990
14	171	45534
15	174	43328
16	176	41455
17	179	39714
18	182	38173
19	184	36812
20	187	35525
21	190	34366
22	192	33357
23	195	32421
24	198	31526
25	200	30696
26	203	29927
27	206	29261
28	209	28682
29	212	28082
30	214	27512
31	217	26966
32	220	26460
33	223	26035
34	225	25588
35	228	25155
36	231	24782
37	233	24371
38	236	24035
39	239	23715
40	242	23390
41	245	23092
42	247	22779
43	250	22480
44	252	22184
45	255	21930
46	257	21672
47	260	21414
48	262	21170
49	265	20943
50	267	20713
51	269	20496
52	272	20307
53	275	20112
54	277	19925
55	280	19739
56	282	19565
57	285	19410
58	288	19272
59	291	19115
60	293	18959
61	296	18831
62	299	18708
63	302	18586
64	305	18505
65	309	18424
66	312	18341
67	315	18264
68	319	18198
69	322	18112
70	326	18042
71	329	17969
72	332	17908
73	336	17850
74	339	17787
75	342	17677
76	345	17577
77	347	17476
78	350	17401
79	353	17316
80	356	17232
81	358	17143
82	361	17051
83	363	16960
84	366	16891
85	369	16801
86	371	16731
87	374	16667
88	377	16603
89	380	16522
90	383	16460
91	385	16390
92	388	16326
93	391	16263
94	394	16206
95	397	16149
96	399	16088
97	403	16048
98	405	15986
99	408	15920
100	410	15862
101	413	15811
102	416	15775
103	419	15711
104	422	15657
105	424	15601
106	427	15546
107	430	15501
108	433	15459
109	435	15408
110	438	15360
111	440	15306
112	443	15257
113	446	15224
114	449	15181
115	452	15136
116	454	15085
117	457	15044
118	459	14998
119	462	14965
120	465	14926
121	468	14887
122	470	14845
123	473	14806
124	476	14763
125	479	14752
126	482	14713
127	485	14676
128	488	14644
129	490	14607
130	493	14574
131	496	14541
132	498	14501
133	501	14467
134	504	14432
135	506	14393
136	510	14381
137	512	14349
138	515	14317
139	518	14287
140	520	14255
141	523	14229
142	527	14214
143	529	14182
144	532	14154
145	535	14124
146	537	14094
147	540	14078
148	544	14062
149	546	14035
150	549	14013
151	552	13980
152	555	13956
153	557	13933
154	560	13909
155	563	13888
156	566	13862
157	568	13834
158	571	13812
159	575	13802
160	577	13777
161	580	13761
162	583	13737
163	586	13723
164	589	13708
165	592	13688
166	595	13665
167	598	13641
168	600	13620
169	603	13602
170	606	13588
171	609	13568
172	612	13542
173	615	13525
174	618	13510
175	621	13493
176	624	13483
177	626	13458
178	629	13439
179	632	13419
180	635	13400
181	638	13384
182	640	13365
183	643	13345
184	646	13328
185	649	13308
186	652	13297
187	655	13285
188	658	13272
189	661	13257
190	664	13243
191	667	13236
192	670	13227
193	673	13222
194	677	13211
195	680	13200
196	682	13183
197	686	13176
198	689	13163
199	692	13154
200	695	13147
201	698	13129
202	701	13118
203	704	13107
204	707	13096
205	710	13080
206	712	13063
207	715	13053
208	719	13047
209	722	13035
210	725	13021
211	727	13007
212	730	12990
213	733	12980
214	736	12972
215	739	12955
216	742	12938
217	744	12919
218	747	12905
219	750	12895
220	753	12884
221	756	12873
222	759	12857
223	761	12844
224	764	12832
225	768	12827
226	771	12815
227	773	12799
228	776	12787
229	779	12775
230	783	12777
231	786	12770
232	789	12759
233	792	12747
234	794	12736
235	797	12725
236	800	12713
237	803	12700
238	806	12687
239	809	12674
240	812	12666
241	815	12660
242	817	12635
243	819	12622
244	822	12607
245	825	12595
246	828	12582
247	831	12578
248	834	12574
249	837	12566
250	840	12555
251	843	12546
252	846	12542
253	849	12533
254	852	12524
255	855	12514
256	858	12505
257	861	12501
258	864	12492
259	867	12481
260	870	12473
261	873	12463
262	877	12462
263	880	12463
264	883	12458
265	887	12452
266	889	12442
267	893	12436
268	896	12435
269	898	12408
270	901	12410
271	904	12402
272	908	12396
273	911	12394
274	914	12392
275	917	12385
276	920	12376
277	923	12367
278	927	12367
279	931	12369
280	934	12370
281	938	12370
282	941	12361
283	944	12354
284	947	12346
285	949	12336
286	952	12325
287	955	12318
288	958	12310
289	961	12301
290	964	12294
291	967	12289
292	970	12279
293	973	12273
294	977	12270
295	980	12267
296	983	12263
297	986	12259
298	989	12251
299	993	12252
300	1002	12319
301	1006	12323
302	1010	12327
303	1014	12329
304	1017	12330
305	1020	12315
306	1024	12320
307	1027	12319
308	1030	12311
309	1033	12300
310	1036	12293
311	1039	12287
312	1042	12279
313	1045	12270
314	1048	12263
315	1051	12254
316	1054	12248
317	1057	12241
318	1060	12231
319	1062	12220
320	1065	12210
321	1068	12202
322	1071	12201
323	1074	12195
324	1077	12186
